,timestamp,day_ahead_price [€/MWh],day_ahead_price [€/Wh]
0,2022-12-31 23:00:00+00:00,230.9,0.00023
1,2023-01-01 00:00:00+00:00,268.19,0.00027
2,2023-01-01 01:00:00+00:00,229.58,0.00023
3,2023-01-01 02:00:00+00:00,235.98,0.00024
4,2023-01-01 03:00:00+00:00,234.28,0.00023
5,2023-01-01 04:00:00+00:00,237.63,0.00024
6,2023-01-01 05:00:00+00:00,239.66,0.00024
7,2023-01-01 06:00:00+00:00,231.88,0.00023
8,2023-01-01 07:00:00+00:00,186.47,0.00019
9,2023-01-01 08:00:00+00:00,186.47,0.00019
10,2023-01-01 09:00:00+00:00,177.25,0.00018
11,2023-01-01 10:00:00+00:00,168.5,0.00017
12,2023-01-01 11:00:00+00:00,84.9,8e-05
13,2023-01-01 12:00:00+00:00,81.95,8e-05
14,2023-01-01 13:00:00+00:00,179.73,0.00018
15,2023-01-01 14:00:00+00:00,295.0,0.0003
16,2023-01-01 15:00:00+00:00,348.15,0.00035
17,2023-01-01 16:00:00+00:00,322.34,0.00032
18,2023-01-01 17:00:00+00:00,301.65,0.0003
19,2023-01-01 18:00:00+00:00,353.15,0.00035
20,2023-01-01 19:00:00+00:00,363.15,0.00036
21,2023-01-01 20:00:00+00:00,283.56,0.00028
22,2023-01-01 21:00:00+00:00,237.97,0.00024
23,2023-01-01 22:00:00+00:00,230.59,0.00023
24,2023-01-01 23:00:00+00:00,187.27,0.00019
25,2023-01-02 00:00:00+00:00,187.2,0.00019
26,2023-01-02 01:00:00+00:00,180.0,0.00018
27,2023-01-02 02:00:00+00:00,180.0,0.00018
28,2023-01-02 03:00:00+00:00,185.89,0.00019
29,2023-01-02 04:00:00+00:00,271.87,0.00027
30,2023-01-02 05:00:00+00:00,348.77,0.00035
31,2023-01-02 06:00:00+00:00,353.77,0.00035
32,2023-01-02 07:00:00+00:00,231.0,0.00023
33,2023-01-02 08:00:00+00:00,203.99,0.0002
34,2023-01-02 09:00:00+00:00,196.23,0.0002
35,2023-01-02 10:00:00+00:00,188.89,0.00019
36,2023-01-02 11:00:00+00:00,187.91,0.00019
37,2023-01-02 12:00:00+00:00,188.89,0.00019
38,2023-01-02 13:00:00+00:00,203.7,0.0002
39,2023-01-02 14:00:00+00:00,363.77,0.00036
40,2023-01-02 15:00:00+00:00,348.77,0.00035
41,2023-01-02 16:00:00+00:00,363.77,0.00036
42,2023-01-02 17:00:00+00:00,301.24,0.0003
43,2023-01-02 18:00:00+00:00,353.77,0.00035
44,2023-01-02 19:00:00+00:00,358.77,0.00036
45,2023-01-02 20:00:00+00:00,284.53,0.00028
46,2023-01-02 21:00:00+00:00,268.66,0.00027
47,2023-01-02 22:00:00+00:00,262.99,0.00026
48,2023-01-02 23:00:00+00:00,349.17,0.00035
49,2023-01-03 00:00:00+00:00,274.1,0.00027
50,2023-01-03 01:00:00+00:00,271.25,0.00027
51,2023-01-03 02:00:00+00:00,172.78,0.00017
52,2023-01-03 03:00:00+00:00,272.85,0.00027
53,2023-01-03 04:00:00+00:00,354.17,0.00035
54,2023-01-03 05:00:00+00:00,359.17,0.00036
55,2023-01-03 06:00:00+00:00,349.17,0.00035
56,2023-01-03 07:00:00+00:00,269.99,0.00027
